gen,step,loss,pol_ce,pol_kl,value,mlh,acc,lr,gnorm,games,pos,len,W,D,B,adj,nps,sp_min,seen
1,250,5.846273422241211,2.796475887298584,0.6362300515174866,0.45188623666763306,1.9616812467575073,0.23046875,8.299999899463728e-05,1.9519729614257812,125.0,23711.0,189.68800354003906,40.0,46.0,39.0,1.0,238.14051818847656,45.27125244140625,64000.0
2,500,4.579561233520508,2.464663028717041,0.4943796694278717,0.33454400300979614,1.2859746217727661,0.4609375,0.00016633333871141076,4.363142013549805,148.0,24348.0,164.51351928710938,45.0,53.0,50.0,0.0,137.2919464111328,127.5673095703125,128000.0
3,750,4.059455871582031,2.470139741897583,0.4768877625465393,0.22583208978176117,0.8865964412689209,0.48046875,0.0002496666566003114,9.585240364074707,155.0,23208.0,149.72903442382812,54.0,39.0,62.0,1.0,242.16171264648438,44.763631184895836,192000.0
4,1000,3.8266918659210205,2.4161720275878906,0.45649173855781555,0.2367427498102188,0.7172853946685791,0.4765625,0.0003330000035930425,9.68376636505127,166.0,22846.0,137.6265106201172,75.0,18.0,73.0,0.0,233.3865509033203,42.98882242838542,256000.0
5,1250,3.607114315032959,2.2998204231262207,0.4867944121360779,0.27678775787353516,0.5437117218971252,0.49609375,0.00041633332148194313,4.449416637420654,177.0,22838.0,129.0282440185547,78.0,29.0,70.0,0.0,206.2889404296875,48.11181640625,320000.0
6,1500,3.5653066635131836,2.240912675857544,0.5236309170722961,0.22591522336006165,0.5748480558395386,0.53125,0.0004996666684746742,3.7971768379211426,144.0,22571.0,156.74305725097656,60.0,28.0,56.0,1.0,238.2209930419922,42.120540364583334,384000.0
7,1750,3.8373217582702637,2.421269416809082,0.518581748008728,0.24604982137680054,0.651420533657074,0.51171875,0.0005000000237487257,4.837831497192383,162.0,24012.0,148.22222900390625,63.0,37.0,62.0,0.0,263.5019836425781,40.02764892578125,448000.0
8,2000,3.839221477508545,2.377598762512207,0.5919317007064819,0.20301485061645508,0.6666760444641113,0.48046875,0.0005000000237487257,5.486075401306152,174.0,22946.0,131.87356567382812,81.0,19.0,74.0,0.0,253.86795043945312,39.513484700520834,512000.0
9,2250,3.5688421726226807,2.252291679382324,0.5568633675575256,0.1915702223777771,0.5681169033050537,0.48828125,0.0005000000237487257,3.5359020233154297,167.0,23030.0,137.90419006347656,58.0,22.0,87.0,0.0,259.1662292480469,38.59890543619792,576000.0
10,2500,3.5881497859954834,2.32381534576416,0.5402834415435791,0.2288893312215805,0.495161771774292,0.51171875,0.0005000000237487257,3.0669546127319336,179.0,22646.0,126.51396942138672,75.0,16.0,88.0,0.0,251.82269287109375,38.941304524739586,640000.0
11,2750,3.8646793365478516,2.364468574523926,0.6639717817306519,0.24784445762634277,0.5883945226669312,0.546875,0.0005000000237487257,3.12945818901062,163.0,22666.0,139.0552215576172,68.0,22.0,73.0,0.0,252.31292724609375,39.73573404947917,704000.0
12,3000,3.7584733963012695,2.312990188598633,0.5721688270568848,0.2956077456474304,0.5777066946029663,0.52734375,0.0005000000237487257,4.076057434082031,157.0,23533.0,149.8917236328125,55.0,27.0,75.0,0.0,256.5020446777344,41.623486328125,768000.0
13,3250,3.785982131958008,2.35412335395813,0.6651910543441772,0.26662126183509827,0.5000466108322144,0.44140625,0.0005000000237487257,3.290816068649292,180.0,22791.0,126.61666870117188,75.0,16.0,89.0,0.0,246.57452392578125,40.14454345703125,832000.0
14,3500,3.787140130996704,2.3729515075683594,0.5929660201072693,0.25480249524116516,0.5664200782775879,0.55078125,0.0005000000237487257,3.5870702266693115,160.0,22170.0,138.5625,74.0,17.0,69.0,0.0,255.77159118652344,38.32222900390625,896000.0
15,3750,3.815253734588623,2.453634738922119,0.6362782716751099,0.21911552548408508,0.5062252283096313,0.39453125,0.0005000000237487257,2.726980209350586,170.0,22968.0,135.1058807373047,69.0,26.0,75.0,0.0,254.28480529785156,40.173238118489586,960000.0
16,4000,3.627607822418213,2.3277688026428223,0.6056362390518188,0.1709803342819214,0.5232223272323608,0.48046875,0.0005000000237487257,3.2712950706481934,176.0,22594.0,128.375,79.0,21.0,76.0,0.0,240.929443359375,41.274637858072914,1024000.0
17,4250,3.7409424781799316,2.3144497871398926,0.6418942213058472,0.21357455849647522,0.5710235834121704,0.52734375,0.0005000000237487257,3.702760696411133,174.0,22778.0,130.90805053710938,78.0,19.0,77.0,0.0,213.75418090820312,46.92271321614583,1088000.0
18,4500,3.699225425720215,2.2930641174316406,0.6799511313438416,0.2119889259338379,0.5142213106155396,0.51953125,0.0005000000237487257,3.3720779418945312,165.0,23120.0,140.1212158203125,83.0,13.0,69.0,0.0,250.927734375,41.46469319661458,1152000.0
19,4750,3.765099048614502,2.357776403427124,0.6200504899024963,0.3153362274169922,0.4719359278678894,0.46875,0.0005000000237487257,3.9427101612091064,172.0,22962.0,133.5,87.0,7.0,78.0,0.0,246.3302459716797,40.71967366536458,1216000.0
20,5000,3.5271589756011963,2.2232470512390137,0.6220338940620422,0.1879221349954605,0.49395591020584106,0.53515625,0.0005000000237487257,2.9369213581085205,172.0,22762.0,132.3372039794922,74.0,19.0,79.0,0.0,245.49484252929688,40.187137858072916,1280000.0
21,5250,3.6890127658843994,2.384881019592285,0.6187002658843994,0.24088400602340698,0.44454747438430786,0.453125,0.0005000000237487257,2.6962313652038574,180.0,22798.0,126.65555572509766,76.0,22.0,82.0,0.0,247.56967163085938,39.22360432942708,1344000.0
22,5500,3.6355085372924805,2.337399959564209,0.6105399131774902,0.19627264142036438,0.4912959337234497,0.46875,0.0005000000237487257,2.9784576892852783,175.0,23255.0,132.88571166992188,86.0,16.0,73.0,0.0,250.53387451171875,40.12154541015625,1408000.0
23,5750,4.026660442352295,2.451791763305664,0.72264164686203,0.3375014364719391,0.5147256255149841,0.43359375,0.0005000000237487257,3.307919502258301,173.0,22558.0,130.39306640625,78.0,12.0,83.0,0.0,247.45443725585938,40.903096516927086,1472000.0
24,6000,3.7813880443573,2.4548802375793457,0.6404752135276794,0.21914070844650269,0.4668918550014496,0.4375,0.0005000000237487257,3.0671920776367188,167.0,23186.0,138.83831787109375,80.0,16.0,71.0,0.0,252.2803192138672,40.369205729166666,1536000.0
25,6250,3.7321932315826416,2.3507628440856934,0.6718937158584595,0.2492322027683258,0.4603044390678406,0.46484375,0.0005000000237487257,2.8762686252593994,160.0,22959.0,143.49374389648438,78.0,17.0,65.0,0.0,251.36524963378906,40.619287109375,1600000.0
26,6500,3.8981032371520996,2.3758280277252197,0.6754411458969116,0.2910861074924469,0.5557480454444885,0.44140625,0.0005000000237487257,3.226372480392456,180.0,22663.0,125.90555572509766,82.0,16.0,82.0,0.0,246.60548400878906,39.539449055989586,1664000.0
27,6750,3.7372260093688965,2.3306288719177246,0.6629799604415894,0.21778269112110138,0.5258344411849976,0.5078125,0.0005000000237487257,2.792015314102173,174.0,22729.0,130.62643432617188,88.0,9.0,77.0,0.0,250.55340576171875,40.13355305989583,1728000.0
28,7000,3.919422149658203,2.3946573734283447,0.6754041910171509,0.3024910092353821,0.5468693971633911,0.44921875,0.0005000000237487257,3.178229331970215,174.0,23559.0,135.39654541015625,79.0,13.0,82.0,0.0,249.40011596679688,43.83841552734375,1792000.0
29,7250,3.890857696533203,2.44694185256958,0.7054319381713867,0.26921340823173523,0.46927034854888916,0.41015625,0.0005000000237487257,2.9648003578186035,169.0,23264.0,137.65679931640625,73.0,13.0,83.0,0.0,239.4702606201172,43.23409830729167,1856000.0
30,7500,3.8100523948669434,2.3945608139038086,0.6843591332435608,0.27450671792030334,0.45662564039230347,0.484375,0.0005000000237487257,2.9885668754577637,180.0,23381.0,129.89443969726562,85.0,15.0,80.0,0.0,191.3553009033203,54.16378987630208,1920000.0
31,7750,3.9977974891662598,2.4825868606567383,0.7210218906402588,0.23163852095603943,0.5625501871109009,0.45703125,0.0005000000237487257,3.198030948638916,184.0,22688.0,123.3043441772461,84.0,11.0,89.0,0.0,187.05532836914062,53.870113118489584,1984000.0
32,8000,3.8121070861816406,2.398455858230591,0.6958518624305725,0.20163363218307495,0.5161657929420471,0.4453125,0.0005000000237487257,2.8513925075531006,171.0,22982.0,134.3976593017578,70.0,12.0,89.0,0.0,193.28924560546875,52.11566162109375,2048000.0
33,8250,3.685573101043701,2.286808729171753,0.6815195083618164,0.26063233613967896,0.4566124975681305,0.44921875,0.0005000000237487257,3.0287222862243652,169.0,22565.0,133.5207061767578,81.0,14.0,74.0,0.0,191.3289337158203,51.11099446614583,2112000.0
34,8500,3.955631732940674,2.409114122390747,0.7532815337181091,0.2187424600124359,0.5744935274124146,0.44140625,0.0005000000237487257,2.7943227291107178,176.0,22926.0,130.26136779785156,73.0,11.0,92.0,0.0,190.73719787597656,52.44155680338542,2176000.0
